condition,seed,step,grad_norm,loss,raw_reward,run
B,20260820,0,1.6498388051986694,0.019356299191713333,0.36328125,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,1,0.38482001423835754,0.01857079565525055,0.41796875,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,2,0.6487029790878296,0.020665546879172325,0.33203125,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,3,0.3633410930633545,0.019486699253320694,0.43359375,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,4,0.6279944181442261,0.009685194119811058,0.41796875,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,5,0.6778151988983154,0.010106661356985569,0.328125,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,6,0.8040317893028259,0.03148194029927254,0.34765625,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,7,0.6811087131500244,0.03332986682653427,0.55078125,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,8,0.4481180012226105,0.022072913125157356,0.3984375,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,9,0.48131468892097473,0.03994441404938698,0.46875,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,10,0.416685551404953,-0.003231322392821312,0.296875,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,11,0.5374661087989807,0.01741638220846653,0.40625,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,12,0.7658050656318665,0.01872197352349758,0.43359375,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,13,0.4958615303039551,-0.009184121154248714,0.43359375,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
