condition,seed,step,grad_norm,loss,raw_reward,run
B,20260816,0,0.4293786585330963,0.02194426953792572,0.31640625,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,1,0.6030386686325073,0.03660392016172409,0.375,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,2,0.5094283819198608,0.01914382167160511,0.45703125,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,3,0.8793339729309082,-0.008980737067759037,0.25,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,4,0.6675768494606018,0.01620444655418396,0.26953125,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,5,0.691041886806488,0.023224251344799995,0.36328125,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,6,0.504104495048523,0.008557893335819244,0.48046875,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,7,0.48701781034469604,0.06600134074687958,0.35546875,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,8,0.6853346824645996,0.022806523367762566,0.328125,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,9,0.48825782537460327,0.03132158890366554,0.4453125,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,10,0.589114248752594,0.0011430374579504132,0.546875,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,11,0.707213282585144,0.02271563932299614,0.46875,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,12,0.5321775078773499,0.05539065599441528,0.375,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,13,0.44210878014564514,0.037019599229097366,0.36328125,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,14,0.2713528871536255,0.00037191444425843656,0.41796875,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,15,0.3973892629146576,0.037509653717279434,0.42578125,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,16,0.5631625652313232,0.01085006631910801,0.45703125,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,17,0.5541276931762695,0.003918529488146305,0.33984375,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,18,0.48848646879196167,0.07299309968948364,0.40625,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,19,0.7457377314567566,0.024170609191060066,0.4765625,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,20,0.6154473423957825,0.016352348029613495,0.37109375,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,21,0.4154365658760071,0.013116193935275078,0.41015625,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,22,0.42639413475990295,-0.002228914760053158,0.35546875,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,23,0.5218038558959961,0.016374053433537483,0.234375,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,24,1.401735782623291,0.060980722308158875,0.42578125,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,25,1.264049768447876,-0.008451191708445549,0.3828125,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,26,0.676998496055603,0.034920889884233475,0.54296875,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,27,0.6578500270843506,0.002403048099949956,0.46875,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,28,0.6799176335334778,0.048895567655563354,0.41796875,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,29,0.6584834456443787,0.015481147915124893,0.48046875,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,30,0.5294660329818726,0.015398098155856133,0.3671875,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,31,0.37154221534729004,0.01487342081964016,0.33203125,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,32,0.7131593823432922,0.03901878371834755,0.46875,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,33,0.431210458278656,-0.01000908762216568,0.4375,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,34,0.6419727802276611,-0.013865238055586815,0.6015625,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,35,0.49169793725013733,0.014147582463920116,0.37109375,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,36,1.090413212776184,0.004179161507636309,0.4140625,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
B,20260816,37,2.207888603210449,0.020711280405521393,0.43359375,STEADY40-ALL-IDLE-e2be8cd-20260817-210540-GPU01267-B1-GPU01267-seed20260816-attempt3
